week_start,first_opens,onboarding_completed,first_log_created,three_logs_created,trial_started,purchase_started,purchase_success,purchase_revenue,d1_retention,d7_retention,apple_search_ads_spend,apple_search_ads_installs,apple_search_ads_trials,google_ads_spend,google_ads_installs,google_ads_trials,creator_posts,creator_installs,creator_trials,notes
2026-05-11,1080,941,184,,521,4,3,38.51858,0.2782521346057258,0.05237515225334957,,,,,,,,,,Firebase export baseline 2026-04-19 to 2026-05-14
2026-05-18,,,,,,,,,,,,,,,,,,,,Fill after first campaign/listing sprint
2026-05-25,,,,,,,,,,,,,,,,,,,,Fill weekly
2026-06-01,,,,,,,,,,,,,,,,,,,,Fill weekly
